fold,split_role,building_id,grid_id,population,area_total,use_main_code,floors_above,floors_below,height_m,approved_year,use_main_code_int,land_use_residential,land_use_commercial,land_use_industrial,business_density_50m,factory_within_100m,target_population
0,fold_0_train,0000171243904325924200000000,다사270331,0.0,0.0,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.0
0,fold_0_train,0000171353564326142000000000,,,0.0,17000,1,0,0.0,1990,17000,0,0,1,1,1,0.0
0,fold_0_train,0000171414494327171300000000,다사272333,5.0,17.6,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.014414154699915319
0,fold_0_train,0000171429144328392000000000,다사272334,8.0,348.0,17000,1,0,9.6172447,1990,17000,0,0,1,1,1,0.48407878103955226
0,fold_0_train,0000171453834327824500000000,다사272333,5.0,17.5,17000,1,0,0.0,1992,17000,0,0,1,0,1,0.014332256093665799
0,fold_0_train,0000171465664326461800000000,다사272332,20.0,36.9,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.1182815517642062
0,fold_0_train,0000171496654328559800000000,다사273334,58.0,9.0,17000,1,0,0.0,1992,17000,0,0,1,0,1,0.13092616466598778
0,fold_0_train,0000171499014327126900000000,다사273333,5.0,102.36,17000,1,0,1.51,1992,17000,0,0,1,1,1,0.05748456183465382
0,fold_0_train,0000171590714328877400000000,다사274334,20.0,1800.0,17000,3,0,0.0,1990,17000,0,0,1,0,1,6.722638859840448
0,fold_0_train,0000171604654326040700000000,,,14.03,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.0
0,fold_0_train,0000171611214327202900000000,다사274333,8.0,162.5,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.08667706791481644
0,fold_0_train,0000171648744325346200000000,다사274331,19.0,1473.53,17000,3,0,89.22,1993,17000,0,0,1,0,1,5.007435030673749
0,fold_0_train,0000171652144329006700000000,다사274334,20.0,15.2,17000,1,0,0.3617152,1990,17000,0,0,1,0,1,0.056768950371986
0,fold_0_train,0000171665464329859600000000,다사274335,20.0,114.62,17000,2,0,0.0,1990,17000,0,0,1,0,1,0.3403944441639667
0,fold_0_train,0000171688904329785300000000,다사275335,18.0,28.8,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.027775411367022804
0,fold_0_train,0000171725874330380300000000,,,19.8,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.0
0,fold_0_train,0000171734114328445200000000,다사275334,8.0,0.0,17000,1,0,0.0,1990,17000,0,0,1,1,1,0.0
0,fold_0_train,0000171793614328127500000000,다사276334,5.0,5.76,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.003283242977650577
0,fold_0_train,0000171845394328967900000000,다사276334,5.0,22.92,17000,1,0,0.0,1990,17000,0,0,1,1,1,0.013064571015234592
0,fold_0_train,0000171863034329590000000000,다사276335,5.0,17.94,17000,1,0,0.0,1990,17000,0,0,1,1,1,0.008203475456792744
0,fold_0_train,0000171863844326836400000000,다사276332,8.0,33.58,17000,1,0,0.0,1990,17000,0,0,1,1,1,0.054641941106954924
0,fold_0_train,0000171868614334136100000000,,,0.0,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.0
0,fold_0_train,0000171884974324441000000000,다사277330,5.0,0.0,,0,0,0.0,1990,0,0,0,0,1,1,0.0
0,fold_0_train,0000171909734331192200000000,,,19.8,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.0
0,fold_0_train,0000171921464321290900000000,다사277327,23.0,0.0,,0,0,0.0,1990,0,0,0,0,0,1,0.0
0,fold_0_train,0000171958204324948600000000,다사277330,5.0,249.6,17000,2,1,0.0,1990,17000,0,0,1,0,1,0.19595897423013875
0,fold_0_train,0000171965714324724300000000,다사277330,5.0,1111.08,17000,2,0,0.0,1990,17000,0,0,1,0,1,0.8723000684600263
0,fold_0_train,0000171966554330320900000000,다사277336,0.0,0.0,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.0
0,fold_0_train,0000172043104331731600000000,,,897.37,17000,3,0,0.0,1990,17000,0,0,1,0,1,0.0
0,fold_0_train,0000172054604332299200000000,다사278338,13.0,0.0,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.0
0,fold_0_train,0000172088014322831200000000,다사279328,8.0,1097.02,17000,2,1,122.8,1990,17000,0,0,1,2,1,0.9138882235944642
0,fold_0_train,0000172131434321056200000000,다사279327,8.0,121.52,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.16537636493849592
0,fold_0_train,0000172190654336227000000000,다사280342,5.0,6.0,17000,1,0,0.0,1990,17000,0,0,1,1,1,0.00365368431436787
0,fold_0_train,0000172192164328895500000000,,,0.0,17000,1,0,0.0,1990,17000,0,0,1,1,1,0.0
